id,anchor,status,date_created,date_retired,color,grade,area,setter
85,70,1,3/29/2018,,5,27,2,2
86,70,1,3/29/2018,,3,30,2,2
87,71,1,3/29/2018,,8,21,2,2
88,71,1,3/29/2018,,10,22,2,2
89,23,1,4/4/2018,,10,23,15,2
90,24,1,4/4/2018,,8,28,15,2
91,25,1,4/4/2018,,7,22,15,2
92,26,1,4/4/2018,,9,27,15,2
93,26,1,4/4/2018,,6,21,15,2
94,20,1,4/9/2018,,4,27,15,4
95,22,1,4/9/2018,,5,30,15,3
96,22,1,4/9/2018,,2,24,15,3
97,23,1,4/9/2018,,3,25,15,1
98,,1,2/15/2018,,9,6,8,3
99,,1,2/15/2018,,7,7,8,3
100,,1,2/15/2018,,10,9,8,3
101,,1,2/15/2018,,2,13,8,3
102,,1,2/22/2018,,3,6,8,2
103,,1,2/22/2018,,7,7,8,2
104,,1,2/22/2018,,5,9,8,2
105,,1,2/22/2018,,4,9,8,2
106,,1,2/22/2018,,9,9,8,2
107,,1,2/22/2018,,6,10,8,3
108,,1,2/22/2018,,5,10,8,3
109,,1,2/22/2018,,3,11,8,2
110,,1,2/22/2018,,8,11,8,3
111,,1,2/22/2018,,10,12,8,3
112,,1,2/23/2018,,5,11,2,3
113,,1,2/23/2018,,9,10,2,3
114,,1,2/23/2018,,8,8,2,3
115,,1,2/23/2018,,6,7,2,3
116,,1,2/23/2018,,2,7,2,3
117,,1,2/23/2018,,7,11,2,3
118,,1,2/23/2018,,3,6,2,3
119,,1,2/23/2018,,4,9,2,3
120,,1,2/27/2018,,2,12,11,2
121,,1,2/28/2018,,8,7,2,1
122,,1,2/28/2018,,10,8,2,3
123,,1,2/28/2018,,9,10,2,1
124,,1,2/28/2018,,6,14,2,1
125,,1,2/28/2018,,3,9,2,1
126,,1,2/28/2018,,10,6,2,1
127,,1,2/28/2018,,3,9,2,3
128,,1,2/28/2018,,8,13,2,3
129,,1,2/28/2018,,5,8,2,3
130,,1,2/28/2018,,2,10,2,3
131,,1,3/2/2018,,8,13,11,3
132,,1,3/2/2018,,6,11,11,3
133,,1,3/2/2018,,9,12,11,4
134,,1,3/2/2018,,2,11,11,2
135,,1,3/2/2018,,8,8,11,2
136,,1,3/2/2018,,3,8,11,4
137,,1,3/2/2018,,5,6,11,2
138,,1,3/2/2018,,4,13,11,3
139,,1,3/2/2018,,7,7,11,3
140,,1,3/2/2018,,9,12,11,2
141,,1,3/2/2018,,3,13,11,4
142,,1,3/5/2018,,7,6,2,1
143,,1,3/5/2018,,10,7,2,2
144,,1,3/5/2018,,4,9,2,1
145,,1,3/5/2018,,9,9,3,3
146,,1,3/5/2018,,6,12,3,2
147,,1,3/5/2018,,8,11,3,1
148,,1,3/5/2018,,10,12,3,3
149,,1,3/5/2018,,3,10,3,3
150,,1,3/5/2018,,2,12,3,1
151,,1,3/5/2018,,4,8,3,4
152,,1,3/5/2018,,5,10,3,4
153,,1,3/5/2018,,4,8,3,4
154,,1,3/5/2018,,6,9,3,2
155,,1,3/5/2018,,7,7,3,3
156,,1,3/5/2018,,3,10,3,2
157,,1,3/5/2018,,6,8,3,2
158,,1,3/5/2018,,9,12,3,4
159,,1,3/5/2018,,10,15,3,3
160,,1,3/5/2018,,2,13,3,2
161,,1,3/9/2018,,3,16,4,3
162,,1,3/9/2018,,7,10,4,4
163,,1,3/9/2018,,10,7,4,3
164,,1,3/9/2018,,10,8,4,3
165,,1,3/9/2018,,6,11,4,3
166,,1,3/9/2018,,8,12,4,4
167,,1,3/9/2018,,5,14,4,4
168,,1,3/15/2018,,4,9,9,3
169,,1,3/15/2018,,5,12,9,2
170,,1,3/15/2018,,7,10,9,1
171,,1,3/15/2018,,6,10,9,2
172,,1,3/15/2018,,10,17,9,1
173,,1,3/15/2018,,3,15,9,3
174,,1,3/15/2018,,9,6,9,2
175,,1,3/15/2018,,9,6,9,3
176,,1,3/15/2018,,7,7,9,3
177,,1,3/15/2018,,5,8,9,3
178,,1,3/15/2018,,8,10,9,3
179,,1,3/15/2018,,3,9,9,1
180,,1,3/15/2018,,2,10,9,3
181,,1,3/15/2018,,4,11,9,3
182,,1,3/15/2018,,6,8,9,3
183,,1,3/19/2018,,4,7,4,2
184,,1,3/19/2018,,3,13,4,3
185,,1,3/19/2018,,2,13,4,3
186,,1,3/19/2018,,10,11,4,4
187,,1,3/19/2018,,6,10,4,2
188,,1,3/19/2018,,9,12,5,4
189,,1,3/19/2018,,5,12,5,2
190,,1,3/19/2018,,6,6,5,4
191,,1,3/20/2018,,7,6,4,2
192,,1,3/20/2018,,8,10,5,2
193,,1,3/20/2018,,7,7,5,2
194,,1,3/20/2018,,3,17,5,2
195,,1,3/20/2018,,2,9,5,3
196,,1,3/22/2018,,10,10,5,3
197,,1,3/22/2018,,5,7,5,2
198,,1,3/22/2018,,4,6,5,3
199,,1,3/22/2018,,7,8,5,4
200,,1,3/22/2018,,8,13,5,3
201,,1,3/22/2018,,9,11,5,2
202,,1,3/22/2018,,3,12,5,2
203,,1,3/22/2018,,6,9,5,3
204,,1,3/22/2018,,2,6,5,2
205,,1,3/22/2018,,4,7,5,3
206,,1,3/22/2018,,5,11,5,2
207,,1,3/23/2018,,7,8,10,4
208,,1,3/23/2018,,9,10,10,3
209,,1,3/23/2018,,8,7,10,3
210,,1,3/23/2018,,6,12,10,3
211,,1,3/23/2018,,2,9,10,4
212,,1,3/23/2018,,10,11,10,3
213,,1,3/23/2018,,3,10,10,3
214,,1,3/23/2018,,9,13,10,4
215,,1,3/23/2018,,8,11,10,4
216,,1,3/23/2018,,4,9,10,4
217,,1,3/26/2018,,10,10,5,3
218,,1,3/26/2018,,8,9,5,3
219,,1,3/26/2018,,7,8,5,3
220,,1,3/26/2018,,9,10,5,3
221,,1,3/26/2018,,6,13,5,3
222,,1,3/26/2018,,3,10,5,3
223,,1,3/30/2018,,2,6,5,2
224,,1,3/30/2018,,10,9,5,3
225,,1,3/30/2018,,9,8,5,2
226,,1,3/30/2018,,7,8,5,3
227,,1,3/30/2018,,4,10,5,3
228,,1,3/30/2018,,5,12,5,3
229,,1,3/30/2018,,7,11,5,3
230,,1,3/30/2018,,8,10,5,2
231,,1,4/3/2018,,5,8,10,2
232,,1,4/3/2018,,6,9,10,3
233,,1,4/3/2018,,7,13,10,3
234,,1,4/3/2018,,3,11,10,2
235,,1,4/3/2018,,9,6,10,2
236,,1,4/3/2018,,8,10,10,3
237,,1,4/3/2018,,5,10,10,2
238,,1,4/3/2018,,10,11,10,3
239,,1,4/3/2018,,9,11,10,2
240,,1,4/3/2018,,6,6,10,2
241,,1,4/5/2018,,2,9,5,2
242,,1,4/5/2018,,10,8,5,3
243,,1,4/5/2018,,6,10,5,2
244,,1,4/5/2018,,6,6,5,2
245,,1,4/5/2018,,9,11,5,2
246,,1,4/5/2018,,2,9,5,3
247,,1,4/5/2018,,5,13,6,3
248,,1,4/5/2018,,4,7,6,2
249,,1,4/5/2018,,7,12,6,3
250,,1,4/10/2018,,8,9,6,2
251,,1,4/10/2018,,9,8,6,3
252,,1,4/10/2018,,2,15,6,3
253,,1,4/10/2018,,6,15,6,2
254,,1,4/10/2018,,10,11,6,3
255,,1,4/10/2018,,4,9,6,3
256,,1,4/10/2018,,5,7,6,3
257,,1,4/10/2018,,7,14,6,3
258,,1,4/12/2018,,8,9,10,2
259,,1,4/12/2018,,5,9,10,2
260,,1,4/12/2018,,7,8,10,3
261,,1,4/12/2018,,6,10,10,2
262,,1,4/12/2018,,9,8,10,2
263,,1,4/12/2018,,4,12,10,2
264,,1,4/12/2018,,3,13,10,3
265,,1,4/12/2018,,8,9,10,2
266,,1,4/12/2018,,2,7,10,3
267,,1,4/12/2018,,10,9,10,2
268,,1,4/12/2018,,4,6,10,2
269,,1,4/17/2018,,8,15,6,2
270,,1,4/17/2018,,6,10,6,3
271,,1,4/17/2018,,9,7,6,2
272,,1,4/17/2018,,4,9,6,2
273,,1,4/17/2018,,10,9,6,2
274,,1,4/17/2018,,3,16,6,3
275,,1,4/17/2018,,3,8,7,3
276,,1,4/17/2018,,6,9,7,3
277,,1,4/17/2018,,5,9,7,3
278,,1,4/17/2018,,4,6,7,3
279,,1,4/17/2018,,2,10,7,2
280,,1,4/17/2018,,7,7,7,3
281,,1,4/17/2018,,10,10,7,3
282,,1,4/17/2018,,6,11,7,2
283,,1,4/17/2018,,8,8,7,2
284,,1,4/24/2018,,7,8,10,3
285,,1,4/24/2018,,6,10,10,3
286,,1,4/24/2018,,3,11,10,3
287,,1,4/24/2018,,5,8,10,3
288,,1,4/24/2018,,10,9,10,3
